Дата,"Количество заболевших COVID-19, чел."
2022-02-23,65466532
2022-02-22,66126949
2022-02-21,67152718
2022-02-20,68586861
2022-02-19,69121008
2022-02-18,69561332
2022-02-17,70249024
2022-02-16,70739288
2022-02-15,71343762
2022-02-14,72259498
2022-02-13,73703530
2022-02-12,74041636
2022-02-11,74164945
2022-02-10,74395883
2022-02-9,74540246
2022-02-8,74480095
2022-02-7,74814781
2022-02-6,75491899
2022-02-5,75401732
2022-02-4,75365583
2022-02-3,74806981
2022-02-2,74165802
2022-02-1,73466172
2022-01-31,74339057
2022-01-30,73134642
2022-01-29,72740388
2022-01-28,72215117
2022-01-27,70989142
2022-01-26,69929570
2022-01-25,68905266
2022-01-24,67886664
2022-01-23,66661026
2022-01-22,65768884
2022-01-21,64610104
2022-01-20,62534951
2022-01-19,60657989
2022-01-18,58662692
2022-01-17,56911154
2022-01-16,55558869
2022-01-15,54709192
2022-01-14,53321159
2022-01-13,51171271
2022-01-12,49064600
2022-01-11,46787964
2022-01-10,44915442
2022-01-9,42832964
2022-01-8,41465000
2022-01-7,39891316
2022-01-6,37745910
2022-01-5,35892983
2022-01-4,33955099
2022-01-3,32186413
2022-01-2,30689362
2022-01-1,30058320
2021-12-31,29327570
2021-12-30,28223657
2021-12-29,26889853
2021-12-28,25957469
2021-12-27,25384131
2021-12-26,24547457
2021-12-25,24384358
2021-12-24,24265702
2021-12-23,23922324
2021-12-22,23517617
2021-12-21,23164398
2021-12-20,23019192
2021-12-19,22933934
2021-12-18,22821211
2021-12-17,22715349
2021-12-16,22573749
2021-12-15,22323862
2021-12-14,22151652
2021-12-13,22081005
2021-12-12,22010337
2021-12-11,21928838
2021-12-10,21835358
2021-12-9,21680138
2021-12-8,21505127
2021-12-7,21325384
2021-12-6,21185157
2021-12-5,21165043
2021-12-4,21056608
2021-12-3,20966104
2021-12-2,20724076
2021-12-1,20469530
2021-11-30,20276122
2021-11-29,20259736
2021-11-28,20163915
2021-11-27,20079920
2021-11-26,19982102
2021-11-25,19841687
2021-11-24,19681833
2021-11-23,19499894
2021-11-22,19386102
2021-11-21,19291117
2021-11-20,19879668
2021-11-19,19801701
2021-11-18,19642910
2021-11-17,19459379
2021-11-16,19355817
2021-11-15,19308586
2021-11-14,19242973
2021-11-13,19190883
2021-11-12,19116051
2021-11-11,18988761
2021-11-10,18847988
2021-11-9,18713507
2021-11-8,18686173
2021-11-7,18700282
2021-11-6,18655492
2021-11-5,18590243
2021-11-4,18451233
2021-11-3,18339804
2021-11-2,18277221
2021-11-1,18284574
2021-10-31,18313474
2021-10-30,18256723
2021-10-29,18206136
2021-10-28,18108503
2021-10-27,18015026
2021-10-26,17933828
2021-10-25,17903967
2021-10-24,18014003
2021-10-23,17970004
2021-10-22,17919430
2021-10-21,17856597
2021-10-20,17775953
2021-10-19,17722657
2021-10-18,17756872
2021-10-17,17857888
2021-10-16,17846005
2021-10-15,17838116
2021-10-14,17799878
2021-10-13,17761206
2021-10-12,17755926
2021-10-11,17889520
2021-10-10,17947888
2021-10-9,18005279
2021-10-8,18002126
2021-10-7,18059197
2021-10-6,17996309
2021-10-5,18039286
2021-10-4,18121864
2021-10-3,18320958
2021-10-2,18378967
2021-10-1,18446661
2021-09-30,18420179
2021-09-29,18392503
2021-09-28,18405671
2021-09-27,18518206
2021-09-26,18614455
2021-09-25,18634397
2021-09-24,18658374
2021-09-23,18584715
2021-09-22,18570219
2021-09-21,18579721
2021-09-20,18633374
2021-09-19,18685782
2021-09-18,18710032
2021-09-17,18726664
2021-09-16,18650037
2021-09-15,18640108
2021-09-14,18637712
2021-09-13,18730060
2021-09-12,18797743
2021-09-11,18830736
2021-09-10,18832589
2021-09-9,18787578
2021-09-8,18884034
2021-09-7,18889104
2021-09-6,18832138
2021-09-5,18932828
2021-09-4,18942166
2021-09-3,18939478
2021-09-2,18805645
2021-09-1,18686113
2021-08-31,18652434
2021-08-30,18633478
2021-08-29,18600861
2021-08-28,18570267
2021-08-27,18515951
2021-08-26,18337245
2021-08-25,18203707
2021-08-24,18058798
2021-08-23,18020748
2021-08-22,17960254
2021-08-21,17937108
2021-08-20,17825725
2021-08-19,17643819
2021-08-18,17470208
2021-08-17,17323670
2021-08-16,17249385
2021-08-15,17170955
2021-08-14,17132416
2021-08-13,17017184
2021-08-12,16794308
2021-08-11,16651841
2021-08-10,16545580
2021-08-9,16509727
2021-08-8,16383798
2021-08-7,16327971
2021-08-6,16201440
2021-08-5,15957749
2021-08-4,15715314
2021-08-3,15468618
2021-08-2,15287376
2021-08-1,15138932
2021-07-31,15024675
2021-07-30,14859560
2021-07-29,14613408
2021-07-28,14366289
2021-07-27,14114784
2021-07-26,13988043
2021-07-25,13876623
2021-07-24,13754017
2021-07-23,13736722
2021-07-22,13511355
2021-07-21,13328856
2021-07-20,13170930
2021-07-19,13036968
2021-07-18,12941963
2021-07-17,12840602
2021-07-16,12698767
2021-07-15,12491735
2021-07-14,12288196
2021-07-13,12108676
2021-07-12,12011579
2021-07-11,11989709
2021-07-10,11978010
2021-07-9,11907093
2021-07-8,11780529
2021-07-7,11733329
2021-07-6,11644973
2021-07-5,11631140
2021-07-4,11660995
2021-07-3,11635103
2021-07-2,11590190
2021-07-1,11520055
2021-06-30,11453103
2021-06-29,11435898
2021-06-28,11501486
2021-06-27,11547169
2021-06-26,11543013
2021-06-25,11491189
2021-06-24,11434678
2021-06-23,11367645
2021-06-22,11347960
2021-06-21,11419527
2021-06-20,11557700
2021-06-19,11601711
2021-06-18,11616308
2021-06-17,11643793
2021-06-16,11659724
2021-06-15,11729942
2021-06-14,11985334
2021-06-13,12148030
2021-06-12,12226643
2021-06-11,12297213
2021-06-10,12363650
2021-06-9,12419801
2021-06-8,12537866
2021-06-7,12723807
2021-06-6,12988671
2021-06-5,13154567
2021-06-4,13300463
2021-06-3,13388254
2021-06-2,13457580
2021-06-1,13735639
2021-05-31,13989348
2021-05-30,14172102
2021-05-29,14326193
2021-05-28,14483195
2021-05-27,14649404
2021-05-26,14747752
2021-05-25,14902754
2021-05-24,15101253
2021-05-23,15448635
2021-05-22,15583104
2021-05-21,15743630
2021-05-20,15872480
2021-05-19,16326092
2021-05-18,16434652
2021-05-17,16688248
2021-05-16,16993541
2021-05-15,17219874
2021-05-14,17704605
2021-05-13,17814378
2021-05-12,17882682
2021-05-11,17958813
2021-05-10,18079245
2021-05-9,18265106
2021-05-8,18380106
2021-05-7,18443999
2021-05-6,18563051
2021-05-5,18560768
2021-05-4,18564593
2021-05-3,18667672
2021-05-2,18777470
2021-05-1,18861459
2021-04-30,18934479
2021-04-29,18898518
2021-04-28,18789874
2021-04-27,18720206
2021-04-26,18673176
2021-04-25,18912051
2021-04-24,18894138
2021-04-23,18796753
2021-04-22,18650956
2021-04-21,18467545
2021-04-20,18333196
2021-04-19,18237937
2021-04-18,18264673
2021-04-17,18234052
2021-04-16,18090114
2021-04-15,18090114
2021-04-14,18090114
2021-04-13,24008073
2021-04-12,23873925
2021-04-11,23804466
2021-04-10,23696452
2021-04-9,23494125
2021-04-8,23290410
2021-04-7,22980592
2021-04-6,22868319
2021-04-5,22822608
2021-04-4,22838298
2021-04-3,22745829
2021-04-2,22643448
2021-04-1,22434346
2021-03-31,22229922
2021-03-30,22047226
2021-03-29,21991644
2021-03-28,21994192
2021-03-27,21908969
2021-03-26,21755486
2021-03-25,21570780
2021-03-24,21381015
2021-03-23,21216769
2021-03-22,21292599
2021-03-21,21333859
2021-03-20,21276674
2021-03-19,21112686
2021-03-18,21008666
2021-03-17,20920195
2021-03-16,20792262
2021-03-15,20698777
2021-03-14,20778751
2021-03-13,20798610
2021-03-12,20688090
2021-03-11,21745194
2021-03-10,21750045
2021-03-9,21680579
2021-03-8,21711960
2021-03-7,21875256
2021-03-6,21819360
2021-03-5,21783724
2021-03-4,21743830
2021-03-3,21717012
2021-03-2,21618415
2021-03-1,21738082
2021-02-28,21896085
2021-02-27,21904875
2021-02-26,21906584
2021-02-25,21889328
2021-02-24,21871686
2021-02-23,21911411
2021-02-22,21994765
2021-02-21,22155742
2021-02-20,22326674
2021-02-19,22621025
2021-02-18,22601833
2021-02-17,22661232
2021-02-16,22750778
2021-02-15,22895847
2021-02-14,25354562
2021-02-13,25416998
2021-02-12,25438760
2021-02-11,25436050
2021-02-10,25450716
2021-02-9,25585572
2021-02-8,25679888
2021-02-7,25846264
2021-02-6,25892254
2021-02-5,25918474
2021-02-4,25877314
2021-02-3,25847477
2021-02-2,25878142
2021-02-1,25957040
2021-01-31,26152855
2021-01-30,26128896
2021-01-29,26081618
2021-01-28,25956385
2021-01-27,25916895
2021-01-26,25816107
2021-01-25,25845705
2021-01-24,25884714
2021-01-23,25813016
2021-01-22,25690794
2021-01-21,25503622
2021-01-20,25357752
2021-01-19,25274595
2021-01-18,25324312
2021-01-17,25266907
2021-01-16,25133648
2021-01-15,24938375
2021-01-14,24706397
2021-01-13,24475780
2021-01-12,24202501
2021-01-11,24080735
2021-01-10,23928109
2021-01-9,23669895
2021-01-8,23421699
2021-01-7,22987286
2021-01-6,22608990
2021-01-5,23410895
2021-01-4,23209862
2021-01-3,23197958
2021-01-2,23038235
2021-01-1,22894941
2020-12-31,22648238
2020-12-30,22383762
2020-12-29,22197391
2020-12-28,22118384
2020-12-27,22079202
2020-12-26,22044108
2020-12-25,21972713
2020-12-24,21852623
2020-12-23,21663982
2020-12-22,21512338
2020-12-21,21436098
2020-12-20,21368417
2020-12-19,21176222
2020-12-18,21042258
2020-12-17,20760681
2020-12-16,20510040
2020-12-15,20350243
2020-12-14,20256382
2020-12-13,20157377
2020-12-12,19983708
2020-12-11,20190100
2020-12-10,19982313
2020-12-9,19670400
2020-12-8,19527524
2020-12-7,19394673
2020-12-6,19263559
2020-12-5,19072045
2020-12-4,18889880
2020-12-3,18636573
2020-12-2,18404559
2020-12-1,18260426
2020-11-30,18147676
2020-11-29,18057730
2020-11-28,17917340
2020-11-27,17734215
2020-11-26,17475918
2020-11-25,17265385
2020-11-24,17137037
2020-11-23,16993702
2020-11-22,16818112
2020-11-21,16634352
2020-11-20,16422536
2020-11-19,16140302
2020-11-18,15857387
2020-11-17,15641203
2020-11-16,15539937
2020-11-15,15350177
2020-11-14,15125484
2020-11-13,14909823
2020-11-12,14580371
2020-11-11,14469463
2020-11-10,14143417
2020-11-9,13921477
2020-11-8,13673647
2020-11-7,13450543
2020-11-6,13139606
2020-11-5,12804828
2020-11-4,12522041
2020-11-3,12276829
2020-11-2,12085695
2020-11-1,11850742
2020-10-31,11688491
2020-10-30,11455616
2020-10-29,11144773
2020-10-28,10847699
2020-10-27,10623042
2020-10-26,10438290
2020-10-25,10270163
2020-10-24,10103417
2020-10-23,9895692
2020-10-22,9649082
2020-10-21,9424047
2020-10-20,9276520
2020-10-19,9167926
2020-10-18,9038015
2020-10-17,8943964
2020-10-16,8808089
2020-10-15,8679721
2020-10-14,8514378
2020-10-13,8417340
2020-10-12,8355841
2020-10-11,8312512
2020-10-10,8268446
2020-10-9,8135370
2020-10-8,8033127
2020-10-7,7919751
2020-10-6,7839444
2020-10-5,7808388
2020-10-4,7733727
2020-10-3,7967357
2020-10-2,7899811
2020-10-1,7782526
2020-09-30,7710070
2020-09-29,7682381
2020-09-28,7666094
2020-09-27,7665494
2020-09-26,7644787
2020-09-25,7591135
2020-09-24,7496102
2020-09-23,7434284
2020-09-22,7406502
2020-09-21,7403853
2020-09-20,7439992
2020-09-19,7437936
2020-09-18,7400040
2020-09-17,7388411
2020-09-16,7288309
2020-09-15,7248467
2020-09-14,7234649
2020-09-13,7226834
2020-09-12,7207146
2020-09-11,7155949
2020-09-10,7072045
2020-09-9,7016147
2020-09-8,7005535
2020-09-7,7004064
2020-09-6,7027289
2020-09-5,7015031
2020-09-4,7010758
2020-09-3,6933473
2020-09-2,6868440
2020-09-1,6845252
2020-08-31,6841230
2020-08-30,6827390
2020-08-29,6810375
2020-08-28,6768472
2020-08-27,6694626
2020-08-26,6627601
2020-08-25,6627687
2020-08-24,6635149
2020-08-23,6690380
2020-08-22,6662944
2020-08-21,6605431
2020-08-20,6545381
2020-08-19,6484363
2020-08-18,6473596
2020-08-17,6481778
2020-08-16,6492396
2020-08-15,6510879
2020-08-14,6441818
2020-08-13,6381921
2020-08-12,6353196
2020-08-11,6332732
2020-08-10,6330783
2020-08-9,6390891
2020-08-8,6350897
2020-08-7,6271494
2020-08-6,6179824
2020-08-5,6099090
2020-08-4,6080658
2020-08-3,6072508
2020-08-2,6072545
2020-08-1,5996279
2020-07-31,5915207
2020-07-30,5856480
2020-07-29,5818686
2020-07-28,5770019
2020-07-27,5752731
2020-07-26,5716144
2020-07-25,5634151
2020-07-24,5572588
2020-07-23,5476480
2020-07-22,5391605
2020-07-21,5361549
2020-07-20,5331609
2020-07-19,5296785
2020-07-18,5203685
2020-07-17,5132341
2020-07-16,5074359
2020-07-15,5066264
